Issuer Name;Ticker;Cpn;Maturity;Series;BBG Composite;Mty Type;Currency;Yld to Mty (Bid);Ask Convexity;Bid Convexity;Next Cpn Dt;Mty (Years Frm Tdy);1st Cpn Pd Typ;Coupon Type
Banco Bilbao Vizcaya Argentaria Colombia SA;BANGAN;4.875;21/04/2025;144A;BB+;AT MATURITY;USD;7.603877131;0.042969169;0.042946872;21/10/2023;1.98220397;Normal;FIXED
Colombia Government International Bond;COLOM;3.5;7/05/2025;REGS;NR;AT MATURITY;COP;3.954712227;0.053308526;0.053182335;7/05/2023;2.026009582;Normal;FIXED
Colombian TES;COLTES;3.5;7/05/2025;UVR;BBB-;AT MATURITY;COP;4.094119744;0.053309653;0.053033611;7/05/2023;2.026009582;Normal;FIXED
Interconexion Electrica SA ESP;ISACB;17.5535;7/05/2025;C10;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;7/05/2023;2.026009582;Normal;FLOATING
Colombia Government International Bond;COLOM;3.5;7/05/2025;144A;NR;AT MATURITY;COP;3.954712227;0.053308526;0.053182335;7/05/2023;2.026009582;Normal;FIXED
Banco Davivienda SA;DAVIVI;17.93855;13/05/2025;C120;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;13/05/2023;2.042436687;Normal;FLOATING
Grupo Argos SA/Colombia;ARGOS;16.0133;28/08/2025;C6;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;28/05/2023;2.335386721;Normal;FLOATING
Enel Colombia SA ESP;EMGSA;19.007;11/09/2025;B;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;11/06/2023;2.373716632;Normal;FLOATING
Banco de Bogota SA;BANBOG;4.75;24/09/2025;E;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;24/06/2023;2.409308693;Normal;FIXED
Itau Corpbanca Colombia SA;SANCOL;4.83;29/09/2025;A60;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;29/06/2023;2.422997947;Normal;FIXED
Financiera de Desarrollo Nacional SA;FINENE;15.160448;1/10/2025;B5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;1/07/2023;2.428473648;Long First;FLOATING
Banco de Occidente SA;BANOCC;17.465576;12/10/2025;BS96;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;12/07/2023;2.458590007;Normal;FLOATING
Grupo Bolivar SA;BOLI;15.21011;27/10/2025;A5;#N/A N/A;AT MATURITY;COP;#N/A N/A;#N/A N/A;#N/A N/A;27/07/2023;2.499657769;Normal;FLOATING
